2020-02-25 21:54:21.004409 -  latency: 2.336025 ms
2020-02-25 21:54:21.009466 -  latency: 2.022028 ms
2020-02-25 21:54:21.017551 -  latency: 53.905010 ms
2020-02-25 21:54:21.020852 -  latency: 2.428055 ms
2020-02-25 21:54:21.025813 -  latency: 1.895905 ms
2020-02-25 21:54:21.036470 -  latency: 89.117050 ms
2020-02-25 21:54:21.038663 -  latency: 2.121925 ms
2020-02-25 21:54:21.043757 -  latency: 1.767874 ms
2020-02-25 21:54:21.052138 -  latency: 22.729874 ms
2020-02-25 21:54:21.055227 -  latency: 2.333164 ms
2020-02-25 21:54:21.060229 -  latency: 1.850128 ms
2020-02-25 21:54:21.068382 -  latency: 20.961046 ms
2020-02-25 21:54:21.071509 -  latency: 2.295971 ms
2020-02-25 21:54:21.076569 -  latency: 1.878977 ms
2020-02-25 21:54:21.084685 -  latency: 71.751833 ms
2020-02-25 21:54:21.088153 -  latency: 2.494812 ms
2020-02-25 21:54:21.093096 -  latency: 1.955032 ms
2020-02-25 21:54:21.101430 -  latency: 104.734898 ms
2020-02-25 21:54:21.104291 -  latency: 2.320051 ms
2020-02-25 21:54:21.109382 -  latency: 1.914978 ms
2020-02-25 21:54:21.117587 -  latency: 21.027088 ms
2020-02-25 21:54:21.121224 -  latency: 2.866983 ms
2020-02-25 21:54:21.125734 -  latency: 1.907110 ms
2020-02-25 21:54:21.133756 -  latency: 53.591967 ms
2020-02-25 21:54:21.137117 -  latency: 2.388954 ms
2020-02-25 21:54:21.142090 -  latency: 1.876831 ms
2020-02-25 21:54:21.150213 -  latency: 86.410046 ms
2020-02-25 21:54:21.153383 -  latency: 2.300024 ms
2020-02-25 21:54:21.158347 -  latency: 1.776934 ms
2020-02-25 21:54:21.166794 -  latency: 21.142006 ms
2020-02-25 21:54:21.169648 -  latency: 2.238035 ms
2020-02-25 21:54:21.174681 -  latency: 1.783848 ms
2020-02-25 21:54:21.183051 -  latency: 53.745031 ms
2020-02-25 21:54:21.185980 -  latency: 2.186060 ms
2020-02-25 21:54:21.191041 -  latency: 1.786947 ms
2020-02-25 21:54:21.199661 -  latency: 86.779118 ms
2020-02-25 21:54:21.202867 -  latency: 2.650976 ms
2020-02-25 21:54:21.207491 -  latency: 1.787901 ms
2020-02-25 21:54:21.215771 -  latency: 21.024942 ms
2020-02-25 21:54:21.218889 -  latency: 2.317905 ms
2020-02-25 21:54:21.223819 -  latency: 1.776934 ms
2020-02-25 21:54:21.232159 -  latency: 53.783894 ms
2020-02-25 21:54:21.235287 -  latency: 2.328873 ms
2020-02-25 21:54:21.240249 -  latency: 1.816988 ms
2020-02-25 21:54:21.248868 -  latency: 86.873055 ms
2020-02-25 21:54:21.251649 -  latency: 2.319813 ms
2020-02-25 21:54:21.256619 -  latency: 1.806974 ms
2020-02-25 21:54:21.264822 -  latency: 20.908117 ms
2020-02-25 21:54:21.268121 -  latency: 2.372980 ms
2020-02-25 21:54:21.273136 -  latency: 1.967907 ms
2020-02-25 21:54:21.281073 -  latency: 53.599834 ms
2020-02-25 21:54:21.284753 -  latency: 2.693892 ms
2020-02-25 21:54:21.289745 -  latency: 1.811981 ms
2020-02-25 21:54:21.297851 -  latency: 86.702108 ms
2020-02-25 21:54:21.301243 -  latency: 2.393961 ms
2020-02-25 21:54:21.306200 -  latency: 1.869917 ms
2020-02-25 21:54:21.314481 -  latency: 21.120071 ms
2020-02-25 21:54:21.318402 -  latency: 3.174067 ms
2020-02-25 21:54:21.322638 -  latency: 1.932144 ms
2020-02-25 21:54:21.331313 -  latency: 54.673910 ms
2020-02-25 21:54:21.334060 -  latency: 2.408028 ms
2020-02-25 21:54:21.339025 -  latency: 1.945019 ms
2020-02-25 21:54:21.347223 -  latency: 21.040201 ms
2020-02-25 21:54:21.350707 -  latency: 2.727032 ms
2020-02-25 21:54:21.355397 -  latency: 1.942873 ms
2020-02-25 21:54:21.363373 -  latency: 103.084087 ms
2020-02-25 21:54:21.366808 -  latency: 2.420902 ms
2020-02-25 21:54:21.371857 -  latency: 1.968861 ms
2020-02-25 21:54:21.379907 -  latency: 20.983934 ms
2020-02-25 21:54:21.383239 -  latency: 2.403021 ms
2020-02-25 21:54:21.388239 -  latency: 1.932859 ms
2020-02-25 21:54:21.396160 -  latency: 53.656816 ms
2020-02-25 21:54:21.399129 -  latency: 2.034903 ms
2020-02-25 21:54:21.404411 -  latency: 1.961231 ms
2020-02-25 21:54:21.412260 -  latency: 102.496147 ms
2020-02-25 21:54:21.415579 -  latency: 2.181053 ms
2020-02-25 21:54:21.421193 -  latency: 2.293825 ms
2020-02-25 21:54:21.429301 -  latency: 21.373034 ms
2020-02-25 21:54:21.432539 -  latency: 2.362013 ms
2020-02-25 21:54:21.437604 -  latency: 1.955032 ms
2020-02-25 21:54:21.445437 -  latency: 20.727873 ms
2020-02-25 21:54:21.448985 -  latency: 2.407789 ms
2020-02-25 21:54:21.453765 -  latency: 1.752853 ms
2020-02-25 21:54:21.462075 -  latency: 70.348978 ms
2020-02-25 21:54:21.465187 -  latency: 2.346039 ms
2020-02-25 21:54:21.470056 -  latency: 1.789093 ms
2020-02-25 21:54:21.478130 -  latency: 102.766991 ms
2020-02-25 21:54:21.481195 -  latency: 2.027988 ms
2020-02-25 21:54:21.486414 -  latency: 1.780033 ms
2020-02-25 21:54:21.494306 -  latency: 20.599127 ms
2020-02-25 21:54:21.497936 -  latency: 2.388954 ms
2020-02-25 21:54:21.502986 -  latency: 1.911879 ms
2020-02-25 21:54:21.510678 -  latency: 53.251028 ms
2020-02-25 21:54:21.514334 -  latency: 2.315044 ms
2020-02-25 21:54:21.519329 -  latency: 1.842022 ms
2020-02-25 21:54:21.527537 -  latency: 86.428881 ms
2020-02-25 21:54:21.530256 -  latency: 1.923084 ms
2020-02-25 21:54:21.535444 -  latency: 1.743078 ms
2020-02-25 21:54:21.543625 -  latency: 20.657063 ms
2020-02-25 21:54:21.546925 -  latency: 2.384186 ms
2020-02-25 21:54:21.551764 -  latency: 1.781940 ms
2020-02-25 21:54:21.559619 -  latency: 53.025961 ms
2020-02-25 21:54:21.563495 -  latency: 2.597809 ms
2020-02-25 21:54:21.568151 -  latency: 1.764059 ms
2020-02-25 21:54:21.575994 -  latency: 85.871935 ms
2020-02-25 21:54:21.579639 -  latency: 2.328873 ms
