2020-02-25 21:49:51.799205 -  latency: 2.218962 ms
2020-02-25 21:49:51.804178 -  latency: 1.770020 ms
2020-02-25 21:49:51.811347 -  latency: 3.464937 ms
2020-02-25 21:49:51.815716 -  latency: 2.363920 ms
2020-02-25 21:49:51.820792 -  latency: 1.996994 ms
2020-02-25 21:49:51.828310 -  latency: 4.029989 ms
2020-02-25 21:49:51.832089 -  latency: 2.333879 ms
2020-02-25 21:49:51.837199 -  latency: 1.958847 ms
2020-02-25 21:49:51.844132 -  latency: 3.473997 ms
2020-02-25 21:49:51.848468 -  latency: 2.366066 ms
2020-02-25 21:49:51.853435 -  latency: 1.847982 ms
2020-02-25 21:49:51.860373 -  latency: 3.318071 ms
2020-02-25 21:49:51.864764 -  latency: 2.279043 ms
2020-02-25 21:49:51.869815 -  latency: 1.851797 ms
2020-02-25 21:49:51.876922 -  latency: 3.453970 ms
2020-02-25 21:49:51.881202 -  latency: 2.264977 ms
2020-02-25 21:49:51.886288 -  latency: 1.879930 ms
2020-02-25 21:49:51.893116 -  latency: 3.262043 ms
2020-02-25 21:49:51.897529 -  latency: 2.221823 ms
2020-02-25 21:49:51.903155 -  latency: 2.362967 ms
2020-02-25 21:49:51.909618 -  latency: 3.345013 ms
2020-02-25 21:49:51.914025 -  latency: 2.320051 ms
2020-02-25 21:49:51.918968 -  latency: 1.790047 ms
2020-02-25 21:49:51.925875 -  latency: 3.273964 ms
2020-02-25 21:49:51.930162 -  latency: 2.096891 ms
2020-02-25 21:49:51.935225 -  latency: 1.734972 ms
2020-02-25 21:49:51.942241 -  latency: 3.334045 ms
2020-02-25 21:49:51.946492 -  latency: 2.125978 ms
2020-02-25 21:49:51.951606 -  latency: 1.755953 ms
2020-02-25 21:49:51.958618 -  latency: 3.349066 ms
2020-02-25 21:49:51.962993 -  latency: 2.246857 ms
2020-02-25 21:49:51.967997 -  latency: 1.785040 ms
2020-02-25 21:49:51.975077 -  latency: 3.412008 ms
2020-02-25 21:49:51.979830 -  latency: 2.689123 ms
2020-02-25 21:49:51.984499 -  latency: 1.832008 ms
2020-02-25 21:49:51.991923 -  latency: 3.802776 ms
2020-02-25 21:49:51.995831 -  latency: 2.352953 ms
2020-02-25 21:49:52.000787 -  latency: 1.975060 ms
2020-02-25 21:49:52.007780 -  latency: 3.550053 ms
2020-02-25 21:49:52.012036 -  latency: 2.323151 ms
2020-02-25 21:49:52.017006 -  latency: 1.875877 ms
2020-02-25 21:49:52.023909 -  latency: 3.312826 ms
2020-02-25 21:49:52.028357 -  latency: 2.328157 ms
2020-02-25 21:49:52.033425 -  latency: 1.892805 ms
2020-02-25 21:49:52.040386 -  latency: 3.377914 ms
2020-02-25 21:49:52.044754 -  latency: 2.264977 ms
2020-02-25 21:49:52.049793 -  latency: 1.822948 ms
2020-02-25 21:49:52.057450 -  latency: 4.053116 ms
2020-02-25 21:49:52.061258 -  latency: 2.344131 ms
2020-02-25 21:49:52.066306 -  latency: 1.918077 ms
2020-02-25 21:49:52.073175 -  latency: 3.337860 ms
2020-02-25 21:49:52.077553 -  latency: 2.284050 ms
2020-02-25 21:49:52.082549 -  latency: 1.861095 ms
2020-02-25 21:49:52.089572 -  latency: 3.417015 ms
2020-02-25 21:49:52.093842 -  latency: 2.260923 ms
2020-02-25 21:49:52.098898 -  latency: 1.848936 ms
2020-02-25 21:49:52.106042 -  latency: 3.529787 ms
2020-02-25 21:49:52.110249 -  latency: 2.274036 ms
2020-02-25 21:49:52.115250 -  latency: 1.859188 ms
2020-02-25 21:49:52.122334 -  latency: 3.525972 ms
2020-02-25 21:49:52.126700 -  latency: 2.420902 ms
2020-02-25 21:49:52.132638 -  latency: 2.831936 ms
2020-02-25 21:49:52.138721 -  latency: 3.437042 ms
2020-02-25 21:49:52.143010 -  latency: 2.274036 ms
2020-02-25 21:49:52.148148 -  latency: 1.942158 ms
2020-02-25 21:49:52.155167 -  latency: 3.494978 ms
2020-02-25 21:49:52.159484 -  latency: 2.336025 ms
2020-02-25 21:49:52.164578 -  latency: 1.959085 ms
2020-02-25 21:49:52.171675 -  latency: 3.588915 ms
2020-02-25 21:49:52.175805 -  latency: 2.250910 ms
2020-02-25 21:49:52.180974 -  latency: 1.948118 ms
2020-02-25 21:49:52.187988 -  latency: 3.491163 ms
2020-02-25 21:49:52.192163 -  latency: 2.219915 ms
2020-02-25 21:49:52.197307 -  latency: 1.888037 ms
2020-02-25 21:49:52.204136 -  latency: 3.293991 ms
2020-02-25 21:49:52.208443 -  latency: 2.161026 ms
2020-02-25 21:49:52.214122 -  latency: 2.371073 ms
2020-02-25 21:49:52.220794 -  latency: 3.575087 ms
2020-02-25 21:49:52.224840 -  latency: 2.202034 ms
2020-02-25 21:49:52.229992 -  latency: 1.945019 ms
2020-02-25 21:49:52.236932 -  latency: 3.414154 ms
2020-02-25 21:49:52.241208 -  latency: 2.217054 ms
2020-02-25 21:49:52.246292 -  latency: 1.879215 ms
2020-02-25 21:49:52.253492 -  latency: 3.585815 ms
2020-02-25 21:49:52.257509 -  latency: 2.166986 ms
2020-02-25 21:49:52.262699 -  latency: 1.876831 ms
2020-02-25 21:49:52.269604 -  latency: 3.314018 ms
2020-02-25 21:49:52.273675 -  latency: 1.947880 ms
2020-02-25 21:49:52.279132 -  latency: 1.932859 ms
2020-02-25 21:49:52.286531 -  latency: 3.823996 ms
2020-02-25 21:49:52.290259 -  latency: 2.089024 ms
2020-02-25 21:49:52.295893 -  latency: 2.295017 ms
2020-02-25 21:49:52.302353 -  latency: 3.296852 ms
2020-02-25 21:49:52.306794 -  latency: 2.252817 ms
2020-02-25 21:49:52.311877 -  latency: 1.869917 ms
2020-02-25 21:49:52.319173 -  latency: 3.695965 ms
2020-02-25 21:49:52.323163 -  latency: 2.223015 ms
2020-02-25 21:49:52.328333 -  latency: 1.927853 ms
2020-02-25 21:49:52.335489 -  latency: 3.618956 ms
2020-02-25 21:49:52.339550 -  latency: 2.192020 ms
2020-02-25 21:49:52.344801 -  latency: 1.972914 ms
2020-02-25 21:49:52.351578 -  latency: 3.330946 ms
2020-02-25 21:49:52.356022 -  latency: 2.355814 ms
2020-02-25 21:49:52.361041 -  latency: 1.945019 ms
2020-02-25 21:49:52.367748 -  latency: 3.217936 ms
2020-02-25 21:49:52.372292 -  latency: 2.283096 ms
2020-02-25 21:49:52.377860 -  latency: 2.331972 ms
2020-02-25 21:49:52.385028 -  latency: 3.604889 ms
2020-02-25 21:49:52.389164 -  latency: 2.325058 ms
2020-02-25 21:49:52.394116 -  latency: 1.857996 ms
2020-02-25 21:49:52.401319 -  latency: 3.564119 ms
2020-02-25 21:49:52.405302 -  latency: 2.084970 ms
2020-02-25 21:49:52.410505 -  latency: 1.873970 ms
2020-02-25 21:49:52.417539 -  latency: 3.429174 ms
2020-02-25 21:49:52.421795 -  latency: 2.203941 ms
2020-02-25 21:49:52.426856 -  latency: 1.873970 ms
2020-02-25 21:49:52.433710 -  latency: 3.240824 ms
2020-02-25 21:49:52.438062 -  latency: 2.141953 ms
2020-02-25 21:49:52.443233 -  latency: 1.857996 ms
2020-02-25 21:49:52.450326 -  latency: 3.526926 ms
2020-02-25 21:49:52.454709 -  latency: 2.478123 ms
2020-02-25 21:49:52.459428 -  latency: 1.855135 ms
2020-02-25 21:49:52.466227 -  latency: 3.162146 ms
2020-02-25 21:49:52.470634 -  latency: 2.094030 ms
2020-02-25 21:49:52.475887 -  latency: 1.866102 ms
2020-02-25 21:49:52.482767 -  latency: 3.273010 ms
2020-02-25 21:49:52.487029 -  latency: 2.063036 ms
2020-02-25 21:49:52.492303 -  latency: 1.869917 ms
2020-02-25 21:49:52.499164 -  latency: 3.256798 ms
2020-02-25 21:49:52.503537 -  latency: 2.141953 ms
2020-02-25 21:49:52.508695 -  latency: 1.900911 ms
2020-02-25 21:49:52.515755 -  latency: 3.479004 ms
2020-02-25 21:49:52.520037 -  latency: 2.259016 ms
2020-02-25 21:49:52.525151 -  latency: 1.907110 ms
2020-02-25 21:49:52.532084 -  latency: 3.432035 ms
2020-02-25 21:49:52.536710 -  latency: 2.624035 ms
2020-02-25 21:49:52.541880 -  latency: 1.890898 ms
2020-02-25 21:49:52.548864 -  latency: 3.392935 ms
2020-02-25 21:49:52.553012 -  latency: 2.063990 ms
2020-02-25 21:49:52.558355 -  latency: 1.935959 ms
2020-02-25 21:49:52.565264 -  latency: 3.344059 ms
2020-02-25 21:49:52.569673 -  latency: 2.277136 ms
2020-02-25 21:49:52.574713 -  latency: 1.846075 ms
2020-02-25 21:49:52.581539 -  latency: 3.192902 ms
2020-02-25 21:49:52.586008 -  latency: 2.191067 ms
2020-02-25 21:49:52.591176 -  latency: 1.884937 ms
2020-02-25 21:49:52.598093 -  latency: 3.324986 ms
2020-02-25 21:49:52.602423 -  latency: 2.182007 ms
2020-02-25 21:49:52.607556 -  latency: 1.818180 ms
2020-02-25 21:49:52.614868 -  latency: 3.707886 ms
2020-02-25 21:49:52.618860 -  latency: 2.233028 ms
2020-02-25 21:49:52.623992 -  latency: 1.930952 ms
2020-02-25 21:49:52.630843 -  latency: 3.354073 ms
2020-02-25 21:49:52.635175 -  latency: 2.216101 ms
2020-02-25 21:49:52.640291 -  latency: 1.853943 ms
2020-02-25 21:49:52.647260 -  latency: 3.353834 ms
2020-02-25 21:49:52.651579 -  latency: 2.197981 ms
2020-02-25 21:49:52.656708 -  latency: 1.904011 ms
2020-02-25 21:49:52.663780 -  latency: 3.504038 ms
2020-02-25 21:49:52.667968 -  latency: 2.193928 ms
2020-02-25 21:49:52.673170 -  latency: 1.979828 ms
2020-02-25 21:49:52.679982 -  latency: 3.316879 ms
2020-02-25 21:49:52.684369 -  latency: 2.275944 ms
2020-02-25 21:49:52.689438 -  latency: 1.869917 ms
2020-02-25 21:49:52.696865 -  latency: 3.831863 ms
2020-02-25 21:49:52.700750 -  latency: 2.239943 ms
2020-02-25 21:49:52.705855 -  latency: 1.864910 ms
2020-02-25 21:49:52.712741 -  latency: 3.284931 ms
2020-02-25 21:49:52.717122 -  latency: 2.245188 ms
2020-02-25 21:49:52.722142 -  latency: 1.791954 ms
2020-02-25 21:49:52.728921 -  latency: 3.077984 ms
2020-02-25 21:49:52.733376 -  latency: 2.115965 ms
2020-02-25 21:49:52.738521 -  latency: 1.839161 ms
2020-02-25 21:49:52.745420 -  latency: 3.301859 ms
2020-02-25 21:49:52.749810 -  latency: 2.223015 ms
2020-02-25 21:49:52.754773 -  latency: 1.762867 ms
2020-02-25 21:49:52.761722 -  latency: 3.286123 ms
2020-02-25 21:49:52.766001 -  latency: 2.146959 ms
2020-02-25 21:49:52.771078 -  latency: 1.794100 ms
2020-02-25 21:49:52.778492 -  latency: 3.733873 ms
2020-02-25 21:49:52.782870 -  latency: 2.212048 ms
2020-02-25 21:49:52.787913 -  latency: 1.760960 ms
2020-02-25 21:49:52.794581 -  latency: 3.006935 ms
2020-02-25 21:49:52.798950 -  latency: 1.948833 ms
2020-02-25 21:49:52.804360 -  latency: 1.886845 ms
2020-02-25 21:49:52.811064 -  latency: 3.118992 ms
2020-02-25 21:49:52.815552 -  latency: 2.182007 ms
2020-02-25 21:49:52.820794 -  latency: 1.951933 ms
2020-02-25 21:49:52.827745 -  latency: 3.473997 ms
2020-02-25 21:49:52.832132 -  latency: 2.420902 ms
2020-02-25 21:49:52.837129 -  latency: 1.945019 ms
2020-02-25 21:49:52.843900 -  latency: 3.287077 ms
2020-02-25 21:49:52.848304 -  latency: 2.218962 ms
2020-02-25 21:49:52.853883 -  latency: 2.330065 ms
2020-02-25 21:49:52.860153 -  latency: 3.181934 ms
2020-02-25 21:49:52.864529 -  latency: 2.079964 ms
2020-02-25 21:49:52.869684 -  latency: 1.797915 ms
2020-02-25 21:49:52.876636 -  latency: 3.275156 ms
2020-02-25 21:49:52.881083 -  latency: 2.232075 ms
2020-02-25 21:49:52.886097 -  latency: 1.771927 ms
2020-02-25 21:49:52.892887 -  latency: 3.110170 ms
2020-02-25 21:49:52.897324 -  latency: 2.063990 ms
2020-02-25 21:49:52.902475 -  latency: 1.742840 ms
2020-02-25 21:49:52.909062 -  latency: 2.907038 ms
2020-02-25 21:49:52.914119 -  latency: 2.543926 ms
2020-02-25 21:49:52.918748 -  latency: 1.748800 ms
2020-02-25 21:49:52.925592 -  latency: 3.123999 ms
2020-02-25 21:49:52.930236 -  latency: 2.294064 ms
2020-02-25 21:49:52.935688 -  latency: 2.259016 ms
2020-02-25 21:49:52.942535 -  latency: 3.196955 ms
2020-02-25 21:49:52.946835 -  latency: 2.115965 ms
2020-02-25 21:49:52.951916 -  latency: 1.787901 ms
2020-02-25 21:49:52.958838 -  latency: 3.239870 ms
2020-02-25 21:49:52.963137 -  latency: 2.110004 ms
2020-02-25 21:49:52.968293 -  latency: 1.792908 ms
2020-02-25 21:49:52.975211 -  latency: 3.223896 ms
2020-02-25 21:49:52.979569 -  latency: 2.159834 ms
2020-02-25 21:49:52.984681 -  latency: 1.850843 ms
2020-02-25 21:49:52.991747 -  latency: 3.445864 ms
2020-02-25 21:49:52.996116 -  latency: 2.305984 ms
2020-02-25 21:49:53.001186 -  latency: 1.907825 ms
2020-02-25 21:49:53.008397 -  latency: 3.648996 ms
2020-02-25 21:49:53.012725 -  latency: 2.516031 ms
2020-02-25 21:49:53.017563 -  latency: 1.866817 ms
2020-02-25 21:49:53.024592 -  latency: 3.475904 ms
2020-02-25 21:49:53.028867 -  latency: 2.289057 ms
2020-02-25 21:49:53.033853 -  latency: 1.852036 ms
2020-02-25 21:49:53.040911 -  latency: 3.446102 ms
2020-02-25 21:49:53.045211 -  latency: 2.290010 ms
2020-02-25 21:49:53.050217 -  latency: 1.868010 ms
