	key	node
60	-5231877497464722508	CASS-3---
61	-5216831869935264196	cass-2
60	-5208589085391144597	cass-2
59	-5202349149446201079	cass-2
58	-5186910474273315220	cass-2
55	-5174741310925532583	cass-1
57	-5157113311317872078	cass-2
56	-5146005194519579167	cass-2
55	-5121654473832994067	cass-2
59	-5105210820849665358	CASS-3---
58	-5083615363444786881	CASS-3---
54	-5051689085404067264	cass-1
57	-5031734036271476131	CASS-3---
53	-4953628168454698725	cass-1
52	-4936085520974839400	cass-1
51	-4921435609929163484	cass-1
50	-4908550769303569444	cass-1
54	-4888815338752926533	cass-2
56	-4881195644378095213	CASS-3---
49	-4763488461898632171	cass-1
53	-4736786331538589943	cass-2
48	-4720900211668062087	cass-1
47	-4703317762583455366	cass-1
46	-4686910820360476504	cass-1
55	-4651424842123637790	CASS-3---
45	-4645645659123372957	cass-1
52	-4600747365937911672	cass-2
54	-4556693459848345893	CASS-3---
53	-4556346802904727996	CASS-3---
52	-4517435164349827182	CASS-3---
51	-4502140647098570050	CASS-3---
51	-4447295585642122984	cass-2
50	-4423994472722157239	CASS-3---
49	-4418584046425620810	CASS-3---
50	-4398876283367709483	cass-2
44	-4388558448981235334	cass-1
48	-4385768498013878665	CASS-3---
49	-4323996644804748405	cass-2
46	-4313437280980314695	CASS-3---
45	-4286914645519672686	CASS-3---
44	-4283838389159740356	CASS-3---
43	-4272478320755653517	cass-1
48	-4245812897684142990	cass-2
47	-4244669548293838522	cass-2
46	-4220949709841237170	cass-2
42	-4168813699050660999	cass-1
41	-4147754487603395918	cass-1
45	-4135892762333078412	cass-2
40	-4091247821552986702	cass-1
39	-4088447020982877418	cass-1
38	-4044625593234372970	cass-1
36	-4031798099534952960	cass-1
35	-4018136014248705448	cass-1
34	-4014370802070536063	cass-1
42	-4002309557819430468	CASS-3---
44	-3971846797832404463	cass-2
43	-3936338146808565079	cass-2
42	-3890103652742854776	cass-2
41	-3888718796081640203	cass-2
33	-3881985979317816606	cass-1
40	-3868564046756340652	cass-2
32	-3863858825283536254	cass-1
41	-3858998868389820567	CASS-3---
39	-3854872374393078077	cass-2
38	-3820226278409496675	cass-2
40	-3807403188922327503	CASS-3---
39	-3753248704620241487	CASS-3---
31	-3747838774286961259	cass-1
37	-3685149721079196222	cass-2
38	-3677287458256006106	CASS-3---
37	-3619072642629088766	CASS-3---
35	-3609543026478021470	cass-2
34	-3580786801081279814	cass-2
30	-3558901369810881480	cass-1
33	-3481309567822384372	cass-2
36	-3466463629902543894	CASS-3---
29	-3390408656624995249	cass-1
35	-3376591019049347211	CASS-3---
34	-3372330412434502366	CASS-3---
28	-3213684864337893592	cass-1
27	-3212158231255529994	cass-1
33	-3186997030389527816	CASS-3---
31	-3156383527186151469	cass-2
26	-3146704505813441666	cass-1
30	-3130269790977114843	cass-2
25	-3096103325719089462	cass-1
32	-3052389259614442848	CASS-3---
24	-3046003794613630532	cass-1
31	-2999477553429393971	CASS-3---
30	-2962644927388644623	CASS-3---
28	-2945580534773529921	cass-2
29	-2933629857618693788	CASS-3---
23	-2811589930162667129	cass-1
28	-2807906873317193406	CASS-3---
26	-2807823012063707457	cass-2
22	-2768390003734788468	cass-1
21	-2746822381694236632	cass-1
20	-2704721697504330883	cass-1
27	-2683053013816369746	CASS-3---
25	-2553718830825792311	cass-2
24	-2538235146851414897	cass-2
19	-2521920206110359165	cass-1
25	-2502133275582856281	CASS-3---
24	-2490987716805008017	CASS-3---
23	-2468154233628160937	CASS-3---
17	-2424209954759537573	cass-1
23	-2380970030191423402	cass-2
22	-2359758138991460980	cass-2
16	-2340329864060876031	cass-1
14	-2317686350290386913	cass-1
22	-2303922423370089317	CASS-3---
21	-2272677994740359847	CASS-3---
20	-2242526554220340265	CASS-3---
20	-2219732344629167616	cass-2
19	-2206348171017294979	cass-2
13	-2144313197282761667	cass-1
18	-2113648051708719789	cass-2
19	-2068296845421435588	CASS-3---
17	-2040944363718612957	cass-2
18	-2031594702259380323	CASS-3---
12	-1971548275617776066	cass-1
11	-1964523551231765003	cass-1
15	-1957175628908485547	cass-2
14	-1948150625405096179	cass-2
16	-1927427128392591439	CASS-3---
15	-1897515520827446776	CASS-3---
10	-1896951837260296052	cass-1
9	-1880211921707421525	cass-1
13	-1844395465998971637	CASS-3---
13	-1796207871330055330	cass-2
12	-1794190314045986604	CASS-3---
8	-1751283830655352816	cass-1
11	-1731807534638675700	CASS-3---
10	-1705831541004766706	CASS-3---
9	-1651454472325409096	CASS-3---
12	-1642304762952865550	cass-2
11	-1623322603604971504	cass-2
7	-1605350612045297078	cass-1
10	-1589068837578655677	cass-2
6	-1587997951030394504	cass-1
9	-1564840626756461784	cass-2
8	-1507029803569708576	CASS-3---
5	-1388706966712482457	cass-1
7	-1388582646257621210	CASS-3---
6	-1378084516450697172	CASS-3---
4	-1369069907238283720	cass-1
6	-1352144085964062539	cass-2
3	-1317148890657596020	cass-1
