2020-02-25 10:50:05.305849 -  latency: 2.127171 ms
2020-02-25 10:50:05.312826 -  latency: 3.630877 ms
2020-02-25 10:50:05.317230 -  latency: 2.573967 ms
2020-02-25 10:50:05.322258 -  latency: 2.187967 ms
2020-02-25 10:50:05.328907 -  latency: 3.369093 ms
2020-02-25 10:50:05.334019 -  latency: 3.007889 ms
2020-02-25 10:50:05.338737 -  latency: 2.238989 ms
2020-02-25 10:50:05.345679 -  latency: 3.652096 ms
2020-02-25 10:50:05.350035 -  latency: 2.588034 ms
2020-02-25 10:50:05.354936 -  latency: 2.172947 ms
2020-02-25 10:50:05.361551 -  latency: 3.386974 ms
2020-02-25 10:50:05.366471 -  latency: 2.835035 ms
2020-02-25 10:50:05.371285 -  latency: 2.174854 ms
2020-02-25 10:50:05.377969 -  latency: 3.396988 ms
2020-02-25 10:50:05.382931 -  latency: 2.887964 ms
2020-02-25 10:50:05.387727 -  latency: 2.207041 ms
2020-02-25 10:50:05.394536 -  latency: 3.541946 ms
2020-02-25 10:50:05.399120 -  latency: 2.706051 ms
2020-02-25 10:50:05.404047 -  latency: 2.191067 ms
2020-02-25 10:50:05.411295 -  latency: 3.960848 ms
2020-02-25 10:50:05.415826 -  latency: 3.019810 ms
2020-02-25 10:50:05.420455 -  latency: 2.206087 ms
2020-02-25 10:50:05.427006 -  latency: 3.334045 ms
2020-02-25 10:50:05.431979 -  latency: 2.881050 ms
2020-02-25 10:50:05.436853 -  latency: 2.361059 ms
2020-02-25 10:50:05.443474 -  latency: 3.506184 ms
2020-02-25 10:50:05.448247 -  latency: 2.768040 ms
2020-02-25 10:50:05.453223 -  latency: 2.269030 ms
2020-02-25 10:50:05.459878 -  latency: 3.462076 ms
2020-02-25 10:50:05.464578 -  latency: 2.698898 ms
2020-02-25 10:50:05.469445 -  latency: 2.210140 ms
2020-02-25 10:50:05.476090 -  latency: 3.499031 ms
2020-02-25 10:50:05.480860 -  latency: 2.803087 ms
2020-02-25 10:50:05.486198 -  latency: 2.670050 ms
2020-02-25 10:50:05.492569 -  latency: 3.551960 ms
2020-02-25 10:50:05.497338 -  latency: 2.819061 ms
2020-02-25 10:50:05.502266 -  latency: 2.275944 ms
2020-02-25 10:50:05.508910 -  latency: 3.446817 ms
2020-02-25 10:50:05.513739 -  latency: 2.799988 ms
2020-02-25 10:50:05.518584 -  latency: 2.170086 ms
2020-02-25 10:50:05.525824 -  latency: 3.921032 ms
2020-02-25 10:50:05.530118 -  latency: 2.727985 ms
2020-02-25 10:50:05.535157 -  latency: 2.281904 ms
2020-02-25 10:50:05.541925 -  latency: 3.572941 ms
2020-02-25 10:50:05.546534 -  latency: 2.712011 ms
2020-02-25 10:50:05.551394 -  latency: 2.107143 ms
2020-02-25 10:50:05.558013 -  latency: 3.230095 ms
2020-02-25 10:50:05.563376 -  latency: 3.172874 ms
2020-02-25 10:50:05.567905 -  latency: 2.171993 ms
2020-02-25 10:50:05.574636 -  latency: 3.421068 ms
2020-02-25 10:50:05.579597 -  latency: 2.917051 ms
2020-02-25 10:50:05.584255 -  latency: 2.156019 ms
2020-02-25 10:50:05.590872 -  latency: 3.297091 ms
2020-02-25 10:50:05.595957 -  latency: 2.916098 ms
2020-02-25 10:50:05.600785 -  latency: 2.271175 ms
2020-02-25 10:50:05.607104 -  latency: 3.173113 ms
2020-02-25 10:50:05.612204 -  latency: 2.804041 ms
2020-02-25 10:50:05.617157 -  latency: 2.259970 ms
2020-02-25 10:50:05.624587 -  latency: 4.225969 ms
2020-02-25 10:50:05.628783 -  latency: 2.927065 ms
2020-02-25 10:50:05.633548 -  latency: 2.218008 ms
2020-02-25 10:50:05.640967 -  latency: 4.209995 ms
2020-02-25 10:50:05.645149 -  latency: 2.947092 ms
2020-02-25 10:50:05.649939 -  latency: 2.207994 ms
2020-02-25 10:50:05.656595 -  latency: 3.396034 ms
2020-02-25 10:50:05.661399 -  latency: 2.787828 ms
2020-02-25 10:50:05.666138 -  latency: 2.058029 ms
2020-02-25 10:50:05.673052 -  latency: 3.507137 ms
2020-02-25 10:50:05.678066 -  latency: 3.051996 ms
2020-02-25 10:50:05.682479 -  latency: 2.048969 ms
2020-02-25 10:50:05.689632 -  latency: 3.822088 ms
2020-02-25 10:50:05.694020 -  latency: 2.698183 ms
2020-02-25 10:50:05.699039 -  latency: 2.228022 ms
2020-02-25 10:50:05.705871 -  latency: 3.594160 ms
2020-02-25 10:50:05.710464 -  latency: 2.691031 ms
2020-02-25 10:50:05.715467 -  latency: 2.224922 ms
2020-02-25 10:50:05.723553 -  latency: 4.833937 ms
2020-02-25 10:50:05.727020 -  latency: 2.809048 ms
2020-02-25 10:50:05.731952 -  latency: 2.288103 ms
2020-02-25 10:50:05.738402 -  latency: 3.324032 ms
2020-02-25 10:50:05.743645 -  latency: 3.101110 ms
2020-02-25 10:50:05.748328 -  latency: 2.309084 ms
2020-02-25 10:50:05.754909 -  latency: 3.410101 ms
2020-02-25 10:50:05.759864 -  latency: 2.887964 ms
2020-02-25 10:50:05.764778 -  latency: 2.329826 ms
2020-02-25 10:50:05.771299 -  latency: 3.383160 ms
2020-02-25 10:50:05.776199 -  latency: 2.813816 ms
2020-02-25 10:50:05.781121 -  latency: 2.263069 ms
2020-02-25 10:50:05.787639 -  latency: 3.317833 ms
2020-02-25 10:50:05.792745 -  latency: 2.936840 ms
2020-02-25 10:50:05.797457 -  latency: 2.231121 ms
2020-02-25 10:50:05.804588 -  latency: 3.875017 ms
2020-02-25 10:50:05.809015 -  latency: 2.831936 ms
2020-02-25 10:50:05.813917 -  latency: 2.247810 ms
2020-02-25 10:50:05.820435 -  latency: 3.292084 ms
2020-02-25 10:50:05.825313 -  latency: 2.699852 ms
2020-02-25 10:50:05.830254 -  latency: 2.223969 ms
2020-02-25 10:50:05.836957 -  latency: 3.456116 ms
2020-02-25 10:50:05.842067 -  latency: 3.093004 ms
2020-02-25 10:50:05.846686 -  latency: 2.198219 ms
2020-02-25 10:50:05.853519 -  latency: 3.591061 ms
2020-02-25 10:50:05.858105 -  latency: 2.709866 ms
2020-02-25 10:50:05.863144 -  latency: 2.260923 ms
2020-02-25 10:50:05.869596 -  latency: 3.215075 ms
2020-02-25 10:50:05.874635 -  latency: 2.814054 ms
2020-02-25 10:50:05.879322 -  latency: 2.140045 ms
2020-02-25 10:50:05.886573 -  latency: 4.047155 ms
2020-02-25 10:50:05.891161 -  latency: 2.748966 ms
2020-02-25 10:50:05.895984 -  latency: 2.120018 ms
2020-02-25 10:50:05.903604 -  latency: 4.315138 ms
2020-02-25 10:50:05.907448 -  latency: 2.731085 ms
2020-02-25 10:50:05.912412 -  latency: 2.279043 ms
2020-02-25 10:50:05.918723 -  latency: 3.175020 ms
2020-02-25 10:50:05.923630 -  latency: 2.619982 ms
2020-02-25 10:50:05.928649 -  latency: 2.223969 ms
2020-02-25 10:50:05.935103 -  latency: 3.264904 ms
2020-02-25 10:50:05.940221 -  latency: 2.917051 ms
2020-02-25 10:50:05.944775 -  latency: 2.007008 ms
2020-02-25 10:50:05.951469 -  latency: 3.283024 ms
2020-02-25 10:50:05.956373 -  latency: 2.760887 ms
2020-02-25 10:50:05.961774 -  latency: 2.689123 ms
2020-02-25 10:50:05.967950 -  latency: 3.355026 ms
2020-02-25 10:50:05.973006 -  latency: 2.925158 ms
2020-02-25 10:50:05.977726 -  latency: 2.225161 ms
2020-02-25 10:50:05.984315 -  latency: 3.401995 ms
2020-02-25 10:50:05.989162 -  latency: 2.774000 ms
2020-02-25 10:50:05.994084 -  latency: 2.215862 ms
2020-02-25 10:50:06.000407 -  latency: 3.126860 ms
2020-02-25 10:50:06.005613 -  latency: 2.875090 ms
2020-02-25 10:50:06.010214 -  latency: 2.034187 ms
2020-02-25 10:50:06.016925 -  latency: 3.248930 ms
2020-02-25 10:50:06.022045 -  latency: 2.892971 ms
2020-02-25 10:50:06.026706 -  latency: 2.076864 ms
2020-02-25 10:50:06.033402 -  latency: 3.301859 ms
2020-02-25 10:50:06.038447 -  latency: 2.877951 ms
2020-02-25 10:50:06.043635 -  latency: 2.642870 ms
2020-02-25 10:50:06.050201 -  latency: 3.402948 ms
2020-02-25 10:50:06.055156 -  latency: 2.871037 ms
2020-02-25 10:50:06.059985 -  latency: 2.204895 ms
2020-02-25 10:50:06.066463 -  latency: 3.215075 ms
2020-02-25 10:50:06.071466 -  latency: 2.750874 ms
2020-02-25 10:50:06.076391 -  latency: 2.202034 ms
2020-02-25 10:50:06.082799 -  latency: 3.140926 ms
2020-02-25 10:50:06.087994 -  latency: 2.866983 ms
2020-02-25 10:50:06.092782 -  latency: 2.198935 ms
2020-02-25 10:50:06.099110 -  latency: 3.067970 ms
2020-02-25 10:50:06.104205 -  latency: 2.699852 ms
2020-02-25 10:50:06.109178 -  latency: 2.210140 ms
2020-02-25 10:50:06.115544 -  latency: 3.155947 ms
2020-02-25 10:50:06.121078 -  latency: 3.282070 ms
2020-02-25 10:50:06.125152 -  latency: 2.006054 ms
2020-02-25 10:50:06.131856 -  latency: 3.359079 ms
2020-02-25 10:50:06.136956 -  latency: 3.030062 ms
2020-02-25 10:50:06.141409 -  latency: 2.065897 ms
2020-02-25 10:50:06.148022 -  latency: 3.205061 ms
2020-02-25 10:50:06.153027 -  latency: 2.743006 ms
2020-02-25 10:50:06.157796 -  latency: 2.044916 ms
2020-02-25 10:50:06.164450 -  latency: 3.222942 ms
2020-02-25 10:50:06.169600 -  latency: 2.905130 ms
