2020-02-19 08:30:56.942886 -  latency: 3.624916 ms
2020-02-19 08:30:56.947093 -  latency: 2.460957 ms
2020-02-19 08:30:56.960372 -  latency: 4.877090 ms
2020-02-19 08:30:56.963014 -  latency: 2.120972 ms
2020-02-19 08:30:56.968855 -  latency: 18.759966 ms
2020-02-19 08:30:56.974366 -  latency: 2.606153 ms
2020-02-19 08:30:56.979407 -  latency: 2.166986 ms
2020-02-19 08:30:56.990734 -  latency: 2.599001 ms
2020-02-19 08:30:56.995852 -  latency: 2.264023 ms
2020-02-19 08:30:57.007054 -  latency: 2.531052 ms
2020-02-19 08:30:57.008369 -  latency: 42.033911 ms
2020-02-19 08:30:57.010380 -  latency: 27.655125 ms
2020-02-19 08:30:57.012724 -  latency: 2.285957 ms
2020-02-19 08:30:57.015370 -  latency: 16.309977 ms
2020-02-19 08:30:57.019219 -  latency: 3.267050 ms
2020-02-19 08:30:57.024057 -  latency: 2.676010 ms
2020-02-19 08:30:57.028942 -  latency: 2.152205 ms
2020-02-19 08:30:57.035580 -  latency: 3.316879 ms
2020-02-19 08:30:57.040357 -  latency: 2.630949 ms
2020-02-19 08:30:57.045341 -  latency: 2.143145 ms
2020-02-19 08:30:57.052092 -  latency: 3.476143 ms
2020-02-19 08:30:57.056894 -  latency: 2.801895 ms
2020-02-19 08:30:57.061682 -  latency: 2.111912 ms
2020-02-19 08:30:57.068098 -  latency: 3.047943 ms
2020-02-19 08:30:57.073135 -  latency: 2.610922 ms
2020-02-19 08:30:57.078554 -  latency: 2.552032 ms
2020-02-19 08:30:57.089528 -  latency: 2.561808 ms
2020-02-19 08:30:57.094507 -  latency: 2.079010 ms
2020-02-19 08:30:57.105936 -  latency: 2.540112 ms
2020-02-19 08:30:57.107750 -  latency: 26.257038 ms
2020-02-19 08:30:57.110880 -  latency: 2.016783 ms
2020-02-19 08:30:57.122326 -  latency: 2.565861 ms
2020-02-19 08:30:57.127222 -  latency: 2.029181 ms
2020-02-19 08:30:57.133010 -  latency: 35.092831 ms
2020-02-19 08:30:57.135854 -  latency: 21.570921 ms
2020-02-19 08:30:57.138605 -  latency: 2.547979 ms
2020-02-19 08:30:57.143668 -  latency: 2.109051 ms
2020-02-19 08:30:57.145027 -  latency: 14.433861 ms
2020-02-19 08:30:57.155676 -  latency: 3.199816 ms
2020-02-19 08:30:57.157408 -  latency: 10.365963 ms
2020-02-19 08:30:57.160209 -  latency: 2.245903 ms
2020-02-19 08:30:57.168981 -  latency: 5.547047 ms
2020-02-19 08:30:57.171672 -  latency: 2.640009 ms
2020-02-19 08:30:57.176656 -  latency: 2.141953 ms
2020-02-19 08:30:57.188010 -  latency: 2.598047 ms
2020-02-19 08:30:57.190225 -  latency: 10.278225 ms
2020-02-19 08:30:57.193024 -  latency: 2.196074 ms
2020-02-19 08:30:57.201306 -  latency: 4.998922 ms
2020-02-19 08:30:57.204359 -  latency: 2.624035 ms
2020-02-19 08:30:57.209230 -  latency: 2.022028 ms
2020-02-19 08:30:57.221031 -  latency: 2.888918 ms
2020-02-19 08:30:57.225282 -  latency: 12.603998 ms
2020-02-19 08:30:57.227539 -  latency: 3.656149 ms
2020-02-19 08:30:57.234523 -  latency: 4.191160 ms
2020-02-19 08:30:57.238394 -  latency: 2.630949 ms
2020-02-19 08:30:57.243407 -  latency: 2.176046 ms
2020-02-19 08:30:57.254732 -  latency: 2.578020 ms
2020-02-19 08:30:57.256921 -  latency: 10.226011 ms
2020-02-19 08:30:57.259752 -  latency: 2.139091 ms
2020-02-19 08:30:57.267758 -  latency: 4.668951 ms
2020-02-19 08:30:57.271318 -  latency: 2.762079 ms
2020-02-19 08:30:57.276125 -  latency: 2.159834 ms
2020-02-19 08:30:57.282298 -  latency: 2.870798 ms
2020-02-19 08:30:57.287695 -  latency: 2.771854 ms
2020-02-19 08:30:57.292597 -  latency: 2.209187 ms
2020-02-19 08:30:57.299689 -  latency: 3.818035 ms
2020-02-19 08:30:57.304560 -  latency: 3.212929 ms
2020-02-19 08:30:57.309036 -  latency: 2.249956 ms
2020-02-19 08:30:57.316372 -  latency: 4.081011 ms
2020-02-19 08:30:57.320381 -  latency: 2.618074 ms
2020-02-19 08:30:57.325314 -  latency: 2.141953 ms
2020-02-19 08:30:57.331907 -  latency: 3.264189 ms
2020-02-19 08:30:57.336837 -  latency: 2.692938 ms
2020-02-19 08:30:57.341654 -  latency: 2.105951 ms
2020-02-19 08:30:57.348461 -  latency: 3.445864 ms
2020-02-19 08:30:57.353062 -  latency: 2.568007 ms
2020-02-19 08:30:57.358033 -  latency: 2.126932 ms
2020-02-19 08:30:57.365155 -  latency: 3.844023 ms
2020-02-19 08:30:57.369366 -  latency: 2.606869 ms
2020-02-19 08:30:57.374302 -  latency: 2.074957 ms
2020-02-19 08:30:57.381411 -  latency: 3.750086 ms
2020-02-19 08:30:57.385657 -  latency: 2.568960 ms
2020-02-19 08:30:57.390565 -  latency: 2.015829 ms
2020-02-19 08:30:57.402002 -  latency: 7.977009 ms
2020-02-19 08:30:57.403274 -  latency: 3.785133 ms
2020-02-19 08:30:57.407067 -  latency: 2.115965 ms
2020-02-19 08:30:57.417683 -  latency: 7.261038 ms
2020-02-19 08:30:57.419117 -  latency: 3.282070 ms
