2020-02-19 08:38:00.066741 -  latency: 2.069950 ms
2020-02-19 08:38:00.072073 -  latency: 1.974106 ms
2020-02-19 08:38:00.078061 -  latency: 2.488852 ms
2020-02-19 08:38:00.083105 -  latency: 2.057076 ms
2020-02-19 08:38:00.088602 -  latency: 2.082109 ms
2020-02-19 08:38:00.094992 -  latency: 2.943039 ms
2020-02-19 08:38:00.099589 -  latency: 2.038002 ms
2020-02-19 08:38:00.107249 -  latency: 4.268169 ms
2020-02-19 08:38:00.110965 -  latency: 2.506971 ms
2020-02-19 08:38:00.115990 -  latency: 2.033949 ms
2020-02-19 08:38:00.121486 -  latency: 2.108097 ms
2020-02-19 08:38:00.127438 -  latency: 2.587080 ms
2020-02-19 08:38:00.132407 -  latency: 2.078056 ms
2020-02-19 08:38:00.138441 -  latency: 2.644777 ms
2020-02-19 08:38:00.143814 -  latency: 2.599001 ms
2020-02-19 08:38:00.148828 -  latency: 2.200127 ms
2020-02-19 08:38:00.154098 -  latency: 2.053022 ms
2020-02-19 08:38:00.160020 -  latency: 2.504826 ms
2020-02-19 08:38:00.164928 -  latency: 2.022028 ms
2020-02-19 08:38:00.170899 -  latency: 2.583027 ms
2020-02-19 08:38:00.176306 -  latency: 2.554893 ms
2020-02-19 08:38:00.181219 -  latency: 2.051115 ms
2020-02-19 08:38:00.186731 -  latency: 2.085924 ms
2020-02-19 08:38:00.192580 -  latency: 2.514124 ms
2020-02-19 08:38:00.197631 -  latency: 2.094030 ms
2020-02-19 08:38:00.203182 -  latency: 2.129078 ms
2020-02-19 08:38:00.209144 -  latency: 2.606153 ms
2020-02-19 08:38:00.214107 -  latency: 2.097130 ms
2020-02-19 08:38:00.219541 -  latency: 2.063990 ms
2020-02-19 08:38:00.225458 -  latency: 2.509832 ms
2020-02-19 08:38:00.230504 -  latency: 2.084017 ms
2020-02-19 08:38:00.235947 -  latency: 2.027988 ms
2020-02-19 08:38:00.241880 -  latency: 2.537966 ms
2020-02-19 08:38:00.248217 -  latency: 3.445864 ms
2020-02-19 08:38:00.252624 -  latency: 2.355099 ms
2020-02-19 08:38:00.258316 -  latency: 2.612114 ms
2020-02-19 08:38:00.263348 -  latency: 2.170801 ms
2020-02-19 08:38:00.268744 -  latency: 2.094030 ms
2020-02-19 08:38:00.274716 -  latency: 2.590895 ms
2020-02-19 08:38:00.279802 -  latency: 2.210855 ms
2020-02-19 08:38:00.285105 -  latency: 1.991034 ms
2020-02-19 08:38:00.291164 -  latency: 2.570868 ms
2020-02-19 08:38:00.296223 -  latency: 2.161026 ms
2020-02-19 08:38:00.301464 -  latency: 1.938820 ms
2020-02-19 08:38:00.307598 -  latency: 2.654076 ms
2020-02-19 08:38:00.312592 -  latency: 2.183199 ms
2020-02-19 08:38:00.317804 -  latency: 1.986980 ms
2020-02-19 08:38:00.324405 -  latency: 3.056049 ms
2020-02-19 08:38:00.329117 -  latency: 2.291203 ms
2020-02-19 08:38:00.334263 -  latency: 1.964808 ms
2020-02-19 08:38:00.340450 -  latency: 2.658129 ms
2020-02-19 08:38:00.345370 -  latency: 2.166986 ms
2020-02-19 08:38:00.350597 -  latency: 1.931906 ms
2020-02-19 08:38:00.356646 -  latency: 2.561092 ms
2020-02-19 08:38:00.361684 -  latency: 2.184868 ms
2020-02-19 08:38:00.366913 -  latency: 1.954079 ms
2020-02-19 08:38:00.372930 -  latency: 2.504110 ms
